"pmid"	"SVM_PROB"	"FORESTS_PROB"	"LOGITBOOST_PROB"	"MAXENTROPY_PROB"	"med"
"1"	"1000513"	0.988472609825721	0.833333333333333	0.999999168471972	0.999991081667663	0.955449048324672
"2"	"10024618"	0.996966581331498	0.91	0.999999984770021	0.999999926214251	0.976741623078942
"3"	"10025876"	0.971538609470588	0.863333333333333	0.999999984770021	0.999973164964935	0.958711273134719
"4"	"10026159"	0.996641122330055	0.88	0.997527376843365	0.999999999889583	0.968542124765751
"5"	"10026206"	0.956696941507475	0.93	0.999993855825398	0.999999692352647	0.97167262242138
"6"	"10027304"	0.999904846455957	0.93	0.999999999999907	0.99999999999986	0.982476211613931
"7"	"10029375"	0.996676586880463	0.72	0.999999999962249	0.999999999927928	0.92916914669266
"8"	"10029520"	0.922383574693055	0.93	0.999999999994891	0.999999967573901	0.963095885565462
"9"	"10029619"	0.976389888271598	0.853333333333333	0.999999999999309	0.99999955715089	0.957430694688783
"10"	"10030690"	0.999956123635224	0.87	0.999999997938846	0.999999999951108	0.967489030381295
"11"	"10048310"	0.952969698041465	0.713333333333333	0.999999168471972	0.822919948661935	0.872305537127177
"12"	"10050261"	0.999932845388615	0.903333333333333	0.999999999721053	0.999999999985175	0.975816544607044
"13"	"10050869"	0.99917273982887	0.853333333333333	0.999999999962249	0.999999981656145	0.963126513695149
"14"	"10064571"	0.939183955212415	0.73	0.999993855825398	0.999976294382983	0.917288526355199
"15"	"10066806"	0.999792088452207	0.843333333333333	0.999999887464838	0.999999999517031	0.960781327191852
"16"	"10068590"	0.823192024794193	0.84	0.999664649869534	0.997003356898317	0.914965007890511
"17"	"10069393"	0.999783368919556	0.973333333333333	0.999999999962249	0.999999999987815	0.993279175550738
"18"	"10070046"	0.998839779817049	0.863333333333333	0.999993855825398	0.999999968797166	0.965541734443236
"19"	"10070858"	0.998726108125582	0.8	0.999999887464838	0.999999972841802	0.949681492108056
"20"	"10072259"	0.999529956639728	0.916666666666667	0.999999999999907	0.999999995351439	0.979049154664435
"21"	"10072927"	0.996387377471447	0.926666666666667	0.999999984770021	0.999999786123899	0.980763453758008
